ImSlNo	Xcoord	Ycoord
251	40	199
251	124	230
251	300	377
251	300	30
251	319	88
251	347	209
251	362	478
251	373	298
251	376	400
251	377	164
251	402	78
251	492	209
252	31	262
252	157	282
252	203	399
252	222	364
252	234	426
252	352	250
252	361	63
252	479	25
252	484	143
252	487	180
252	505	457
252	511	143
252	527	330
252	537	424
252	607	401
252	635	167
252	638	236
253	5	84
253	20	150
253	113	363
253	264	335
253	294	129
253	459	79
253	515	243
253	552	478
253	556	29
253	577	331
253	609	227
253	634	314
254	29	63
254	63	360
254	67	42
254	79	269
254	107	285
254	177	139
254	202	130
254	207	141
254	226	372
254	341	277
254	362	4
254	506	155
254	548	176
254	567	364
254	574	4
255	59	378
255	97	174
255	122	478
255	233	330
255	239	189
255	293	81
255	381	155
255	405	3
255	439	458
255	526	276
255	567	185
255	638	402
256	7	255
256	180	388
256	318	360
256	329	171
256	638	3
256	638	409
257	238	235
257	240	327
257	319	207
257	367	39
257	392	364
257	424	108
257	431	291
257	490	329
257	506	349
258	35	341
258	245	25
258	302	410
258	351	92
258	429	288
258	422	347
258	596	71
258	614	114
258	638	467
259	3	478
259	23	478
259	103	57
259	150	295
259	234	422
259	275	350
259	324	363
259	395	317
259	458	278
259	486	256
259	496	54
259	495	478
259	519	235
259	525	90
259	581	3
259	584	283
259	620	169
259	638	478
260	3	42
260	7	82
260	51	169
260	188	398
260	190	27
260	195	128
260	237	209
260	248	3
260	325	478
260	358	201
260	397	101
260	426	409
260	463	26
260	470	402
260	479	3
260	519	150
260	608	153
260	637	376
260	638	458
261	32	478
261	85	232
261	94	478
261	215	96
261	235	84
261	259	464
261	295	221
261	299	328
261	309	36
261	319	27
261	322	374
261	377	180
261	378	289
261	399	193
261	466	317
261	467	60
261	488	3
261	619	96
261	637	90
261	638	3
262	270	5
262	292	62
262	311	77
262	331	100
262	362	127
262	383	143
262	408	99
262	423	53
262	621	445
262	625	419
263	111	124
263	191	3
263	196	364
263	346	242
263	456	474
263	549	52
263	627	3
264	79	181
264	194	3
264	243	56
264	265	118
264	278	160
264	320	281
264	332	173
264	335	267
264	389	330
264	391	187
264	399	103
264	468	11
265	52	88
265	271	128
265	286	445
265	393	478
265	453	209
266	263	206
266	277	247
266	309	344
266	354	120
266	428	4
266	506	344
266	618	223
267	4	224
267	15	478
267	148	478
267	243	231
267	271	130
267	291	232
267	384	216
267	466	368
267	638	478
268	94	457
268	189	394
268	296	36
268	303	202
268	366	294
268	462	207
269	82	219
269	134	478
269	176	155
269	207	478
269	316	244
269	313	3
269	365	228
269	521	172
269	522	162
269	581	167
269	570	130
269	610	90
269	616	160
269	627	256
269	637	154
269	638	478
270	337	406
271	4	340
271	12	21
271	135	290
272	50	122
272	486	100
273	121	377
273	226	263
273	286	98
273	564	478
274	17	169
274	289	474
274	454	182
274	460	40
275	54	156
275	306	5
276	3	478
276	47	178
276	75	113
276	90	310
276	101	226
276	100	5
276	104	441
276	120	205
276	130	180
276	134	159
276	145	327
276	178	157
276	241	156
276	359	371
276	362	238
276	381	221
276	424	9
276	561	321
276	590	435
276	621	21
276	626	126
276	638	128
277	3	219
277	16	151
277	16	218
277	55	22
277	117	81
277	173	47
277	181	454
277	249	412
277	260	60
277	275	287
277	325	398
277	496	478
277	517	380
277	613	478
278	3	418
278	15	299
278	66	124
278	335	258
278	431	166
278	433	472
278	456	174
278	482	414
278	484	383
278	591	122
278	626	12
278	637	128
279	73	109
279	155	326
279	307	3
279	341	70
279	398	397
279	421	332
279	428	223
279	445	8
279	596	222
279	638	313
280	3	3
280	3	478
280	25	386
280	134	459
280	163	149
280	205	326
280	208	262
280	234	194
280	244	165
280	269	191
280	273	356
280	313	42
280	332	455
280	351	330
280	393	92
280	411	343
280	429	386
280	417	411
280	471	69
280	531	274
281	105	157
281	262	39
281	348	58
281	415	347
281	416	475
281	610	387
281	623	346
282	137	226
282	162	231
282	170	438
282	220	390
282	344	34
282	397	45
282	402	268
282	408	140
282	429	12
282	461	144
282	474	245
282	561	211
282	638	70
283	3	478
283	110	196
283	116	384
283	163	317
283	182	304
283	217	477
283	289	272
283	294	73
283	313	478
283	318	222
283	350	256
283	364	478
283	390	179
283	419	159
283	422	351
283	436	403
283	443	145
283	456	193
283	469	118
283	484	477
283	618	299
283	638	388
283	638	478
284	3	155
284	3	478
284	123	201
284	124	376
284	124	100
284	181	340
284	180	233
284	206	325
284	214	211
284	231	307
284	269	478
284	272	76
284	314	272
284	290	435
284	297	103
284	364	175
284	366	252
284	409	245
284	420	268
284	417	318
284	433	238
284	503	223
284	507	478
284	538	189
284	562	460
284	570	369
284	596	147
284	611	254
284	636	226
284	638	351
284	638	478
285	3	3
285	40	27
285	77	464
285	139	139
285	144	478
285	177	439
285	180	331
285	182	461
285	202	177
285	206	3
285	240	347
285	243	197
285	253	146
285	261	3
285	279	222
285	280	80
285	283	190
285	320	248
285	320	121
285	332	375
285	336	246
285	347	107
285	347	233
285	373	100
285	374	163
285	388	89
285	403	194
285	426	72
285	446	381
285	470	49
285	495	192
285	522	466
285	621	478
285	638	324
285	638	118
285	638	185
286	3	76
286	4	385
286	89	5
286	85	401
286	121	376
286	128	318
286	154	325
286	160	3
286	164	87
286	178	317
286	194	5
286	190	235
286	199	120
286	202	308
286	224	173
286	229	295
286	282	266
286	305	256
286	310	101
286	311	292
286	328	4
286	339	254
286	373	306
286	376	3
286	374	164
286	379	111
286	416	80
286	423	290
286	440	210
286	442	374
286	445	3
286	453	206
286	462	478
286	487	275
286	501	270
286	519	264
286	522	41
286	525	275
286	532	5
286	566	3
286	568	441
286	621	112
286	637	406
286	638	155
286	638	328
286	638	364
287	4	404
287	3	429
287	165	312
287	245	162
287	259	132
287	333	440
287	347	177
287	354	3
287	387	309
287	395	121
287	415	477
287	418	372
287	421	139
287	448	257
287	471	331
287	498	313
287	514	301
287	538	284
287	537	477
287	569	471
288	3	3
288	64	374
288	135	285
288	186	473
288	195	131
288	222	442
288	275	432
288	327	197
288	358	3
288	387	79
288	428	18
288	425	348
288	445	286
288	449	396
288	559	316
288	573	252
288	581	7
288	637	139
289	83	138
289	200	9
289	236	295
289	276	264
289	314	232
289	336	4
289	372	373
289	393	171
289	408	3
289	572	332
289	606	227
289	624	136
289	638	242
290	468	3
290	489	6
290	493	157
291	3	209
291	150	180
291	257	98
291	290	228
291	287	349
291	339	301
291	364	280
291	365	341
291	395	253
291	583	97
291	638	5
292	3	478
292	137	55
292	211	461
292	235	171
292	485	88
292	638	368
293	3	239
293	3	478
293	146	434
293	188	3
293	222	5
293	284	217
293	377	220
293	388	437
293	438	478
293	496	469
293	486	57
293	551	194
294	3	138
294	3	191
294	7	241
294	35	136
294	104	125
294	169	108
294	184	103
