ImSlNo	Xcoord	Ycoord
251	37	203
251	120	234
251	296	34
251	314	91
251	370	301
251	374	167
251	373	403
251	396	82
252	28	267
252	153	286
252	165	394
252	200	402
252	212	84
252	220	367
252	231	432
252	348	253
252	356	65
252	474	28
252	481	146
252	483	183
252	503	460
252	507	146
252	524	332
252	536	427
252	634	169
252	637	237
253	4	88
253	19	156
253	111	367
253	262	338
253	291	133
253	454	81
253	511	246
253	553	30
253	567	329
253	583	337
253	606	229
253	634	317
254	26	68
254	61	363
254	64	46
254	75	273
254	105	289
254	223	376
254	338	280
254	502	157
254	565	367
255	56	384
255	94	177
255	231	332
255	237	192
255	438	461
255	523	278
255	639	403
256	6	259
256	178	391
256	316	363
256	327	174
257	292	2
257	305	181
257	316	210
257	363	45
257	390	366
257	420	111
257	429	294
257	488	331
257	504	351
258	35	345
258	242	28
258	300	415
258	348	95
258	427	291
258	420	350
258	591	73
258	613	116
259	101	61
259	148	299
259	389	422
259	466	466
259	493	57
260	6	86
260	49	173
260	185	402
260	426	409
260	459	30
260	475	4
260	516	153
260	606	155
261	83	236
261	258	467
261	321	377
262	268	4
262	329	225
262	405	102
262	421	56
262	621	451
263	110	128
263	195	367
263	456	475
263	486	479
263	545	56
264	77	185
264	241	59
264	263	121
264	331	176
264	388	333
264	389	190
264	397	106
264	465	15
264	639	479
265	269	131
265	285	450
266	262	209
266	276	249
266	309	347
266	505	347
266	616	225
267	2	134
267	61	431
267	241	235
267	269	134
267	290	234
268	93	462
268	190	396
268	294	39
268	460	209
269	80	222
269	106	2
269	175	159
269	607	92
269	626	258
270	337	409
271	10	25
271	135	293
272	50	127
272	484	103
273	121	381
273	226	266
274	2	479
274	415	425
274	459	43
275	0	0
276	43	182
276	72	117
276	86	314
276	96	5
276	101	447
276	143	330
276	175	160
276	238	159
276	357	374
276	377	223
276	420	11
276	466	2
276	559	323
276	589	433
276	589	442
276	639	176
277	13	155
277	18	224
277	51	24
277	113	85
277	169	52
277	169	261
277	178	459
277	233	2
277	247	415
277	272	289
277	270	479
277	302	462
277	323	401
277	515	381
277	572	316
277	610	479
278	12	303
278	63	128
278	86	212
278	122	52
278	146	424
278	279	18
278	427	168
278	431	473
278	453	176
278	462	102
278	480	416
278	482	386
278	587	125
278	620	16
278	637	129
278	639	276
278	639	479
279	69	112
279	152	329
279	337	73
279	396	401
279	419	335
279	424	225
279	440	9
279	594	224
280	22	391
280	160	152
280	203	329
280	206	265
280	232	197
280	309	48
280	348	332
280	390	94
280	415	415
280	466	73
281	259	43
281	412	350
281	415	476
281	608	389
281	621	348
282	134	229
282	159	233
282	168	442
282	218	394
282	272	358
282	341	37
282	393	47
282	400	270
282	404	142
282	424	17
282	457	146
282	638	70
283	107	200
283	287	275
283	291	76
283	436	405
283	465	120
283	617	301
283	638	207
284	120	204
284	122	379
284	122	104
284	418	270
284	493	224
285	38	32
285	75	470
285	137	142
285	176	443
285	179	334
285	181	467
285	277	83
285	277	223
285	401	196
285	445	383
285	521	469
286	85	5
286	192	4
286	197	123
286	378	261
286	413	83
286	530	4
286	618	115
287	4	406
287	3	431
287	257	134
287	392	123
287	416	478
287	419	142
287	570	477
287	570	469
288	62	378
288	186	475
288	221	448
288	274	435
288	325	200
288	385	81
288	425	20
288	449	399
288	558	318
288	572	255
288	578	6
289	81	142
289	197	13
289	371	375
289	392	174
289	571	334
289	604	228
289	621	137
290	383	105
290	437	59
290	439	75
290	458	84
290	475	100
290	485	125
290	491	159
291	3	210
291	148	183
291	256	101
291	289	231
291	579	100
292	136	59
292	211	466
292	234	174
292	482	90
293	2	2
293	146	439
293	221	4
293	482	62
294	6	244
294	218	2
294	262	144
294	356	151
294	551	93
294	578	88
295	278	46
295	638	21
296	2	266
296	59	137
296	431	182
296	441	224
296	621	199
296	639	187
297	274	456
298	88	74
298	232	405
298	238	429
298	345	479
298	355	340
298	504	131
298	506	205
299	245	2
299	285	84
299	325	92
299	354	7
299	364	3
299	377	63
299	594	207
300	306	479
301	62	243
301	91	234
301	321	329
301	440	312
301	445	190
301	463	478
301	497	260
301	514	4
301	566	159
301	612	230
302	37	457
302	43	106
302	65	153
302	84	304
302	124	105
302	131	271
302	164	257
302	174	35
302	212	330
302	262	445
302	401	54
302	422	349
302	596	276
302	599	188
302	621	160
302	639	479
303	3	4
303	17	115
303	24	263
303	59	259
303	125	353
303	153	292
303	177	268
303	184	37
303	263	167
303	278	167
303	428	239
303	547	429
303	552	66
303	554	224
304	232	302
304	247	96
304	547	443
305	92	478
305	162	150
305	204	131
305	318	162
305	318	478
305	331	171
305	335	153
305	422	287
305	503	231
305	535	100
305	551	133
305	592	211
305	623	69
306	4	333
306	29	473
306	35	44
306	36	444
306	78	411
306	101	18
306	123	418
306	130	76
306	143	405
306	178	237
306	324	18
306	327	3
306	393	344
306	439	97
306	496	359
306	506	413
306	639	446
307	21	56
307	39	8
307	81	472
307	98	206
307	143	129
307	225	91
307	354	370
307	413	425
307	474	166
307	538	2
307	583	41
308	3	285
308	66	125
308	86	451
308	92	6
308	221	2
308	345	148
308	398	48
308	415	103
308	493	254
308	534	133
308	607	149
309	17	2
309	73	242
309	320	35
309	487	110
309	522	94
309	554	270
309	639	479
310	67	184
310	341	254
310	553	325
310	558	435
310	614	101
310	630	458
310	638	461
311	3	100
311	98	290
311	111	402
311	244	326
311	250	422
311	277	239
311	393	169
312	143	297
312	284	181
312	305	305
312	413	414
312	511	339
312	531	107
312	553	25
312	621	140
313	2	263
313	29	270
313	41	278
313	45	266
313	220	115
313	267	343
313	303	440
313	337	458
313	450	415
313	467	2
314	4	123
314	34	479
314	184	355
314	187	42
314	611	416
315	117	238
315	346	236
315	399	159
315	475	117
315	563	309
315	615	280
315	622	189
315	624	353
315	639	175
316	46	268
316	197	51
316	281	364
317	112	255
317	202	116
317	341	462
317	489	410
317	493	334
318	296	437
318	334	361
318	351	3
318	383	115
318	501	378
319	9	474
319	347	340
319	417	418
319	489	255
320	20	7
320	85	291
320	119	478
320	358	148
320	420	103
320	639	275
321	5	184
321	127	20
321	247	434
321	267	439
321	415	477
321	428	479
321	455	78
322	73	463
322	213	122
322	250	330
322	400	3
323	85	3
324	45	479
324	440	345
325	639	2
326	29	202
326	109	331
326	165	248
326	221	352
326	275	346
326	538	354
327	4	146
327	23	50
327	42	408
327	70	370
327	152	271
327	267	155
327	313	47
327	333	394
327	358	141
327	362	365
327	376	57
327	403	191
327	430	77
327	581	165
328	101	421
328	190	85
328	224	24
328	331	55
328	340	226
328	369	379
328	372	358
328	376	462
328	400	77
328	465	454
328	512	62
328	518	222
328	613	141
328	614	279
329	44	257
329	52	356
329	74	177
329	82	206
329	214	384
329	232	244
329	249	332
329	268	233
329	320	54
329	337	188
329	362	168
329	361	478
329	364	307
329	386	3
329	520	92
