ImSlNo	Xcoord	Ycoord
251	39	202
251	123	233
251	299	34
251	318	91
251	372	301
251	375	404
251	377	167
251	401	82
251	479	241
252	30	266
252	156	286
252	202	402
252	214	81
252	222	367
252	233	429
252	351	254
252	360	66
252	478	28
252	484	147
252	486	183
252	504	460
252	510	146
252	526	332
252	537	427
252	596	412
252	600	451
252	634	170
252	637	238
253	5	86
253	21	155
253	113	367
253	264	338
253	293	132
253	458	82
253	514	246
253	515	3
253	555	33
253	576	333
253	608	230
253	634	317
254	29	67
254	63	363
254	67	45
254	78	273
254	107	288
254	225	375
254	340	280
254	490	199
254	506	158
254	567	367
255	58	382
255	97	176
255	233	332
255	239	192
255	350	366
255	439	461
255	526	279
255	638	406
256	7	258
256	179	391
256	317	363
256	329	175
256	450	3
257	319	210
257	367	43
257	391	366
257	424	111
257	431	294
257	490	332
257	505	352
257	638	347
258	36	345
258	245	28
258	302	415
258	351	95
258	428	292
258	422	350
258	596	74
258	615	117
259	104	60
259	148	279
259	150	298
259	358	65
259	469	470
259	496	57
260	8	85
260	51	172
260	187	402
260	427	409
260	464	29
260	480	4
260	520	153
260	608	157
261	86	235
261	259	467
261	323	377
262	130	472
262	272	6
262	409	102
262	424	56
262	622	448
262	626	422
263	112	127
263	151	5
263	197	367
263	457	475
263	549	55
264	80	184
264	244	58
264	266	121
264	333	176
264	389	333
264	392	190
264	400	106
264	469	13
265	3	14
265	271	131
265	286	449
266	264	209
266	278	249
266	311	347
266	507	347
266	619	226
267	62	432
267	244	234
267	272	134
267	292	234
268	95	459
268	191	396
268	297	38
268	463	209
269	83	221
269	107	3
269	178	158
269	546	167
269	524	159
269	612	93
269	619	157
269	628	259
269	637	152
270	339	409
271	13	23
271	137	292
271	530	169
272	52	125
272	487	103
273	122	380
273	228	266
273	570	202
274	415	424
274	462	43
275	49	67
276	46	180
276	75	116
276	89	313
276	99	6
276	103	445
276	145	329
276	177	160
276	240	159
276	358	374
276	380	224
276	423	11
276	468	4
276	560	324
276	589	438
276	620	23
276	638	176
277	16	153
277	16	221
277	54	22
277	115	83
277	172	51
277	173	261
277	180	457
277	198	85
277	237	4
277	248	415
277	270	477
277	274	290
277	324	401
277	517	383
277	576	318
278	13	302
278	66	127
278	145	426
278	282	20
278	425	403
278	430	169
278	432	473
278	456	176
278	482	417
278	484	386
278	591	125
278	625	16
278	637	132
278	637	343
279	73	111
279	154	329
279	340	73
279	397	401
279	421	335
279	427	225
279	444	10
279	596	225
280	25	389
280	164	152
280	205	328
280	209	265
280	234	197
280	312	45
280	350	332
280	393	95
280	417	414
280	470	71
281	262	42
281	414	351
281	416	476
281	609	389
281	623	349
282	137	229
282	162	233
282	170	439
282	220	392
282	273	359
282	345	37
282	397	47
282	402	270
282	407	142
282	428	15
282	460	147
282	638	73
283	110	199
283	289	275
283	294	76
283	438	405
283	469	121
283	618	301
283	630	123
284	122	203
284	123	379
284	124	103
284	421	271
284	496	225
285	41	30
285	77	467
285	140	141
285	178	441
285	181	334
285	183	464
285	280	224
285	280	83
285	403	196
285	447	383
285	522	469
286	89	6
286	195	6
286	199	122
286	416	83
286	533	6
286	621	115
