ImSlNo	Xcoord	Ycoord
251	3	315
251	26	345
251	106	374
251	200	478
251	215	478
251	283	175
251	307	233
251	312	3
251	357	442
251	362	307
251	386	222
251	395	124
251	540	4
251	592	313
251	638	225
251	638	472
252	3	98
252	3	232
252	3	350
252	4	406
252	131	427
252	206	478
252	239	3
252	326	394
252	334	204
252	361	80
252	451	168
252	450	3
252	459	287
252	460	324
252	485	285
252	503	473
252	611	310
252	637	5
252	638	478
253	3	310
253	3	370
253	178	78
253	213	107
253	232	474
253	421	222
253	479	135
253	479	386
253	503	7
253	516	104
253	519	173
253	534	469
253	551	477
254	3	211
254	3	341
254	3	405
254	3	449
254	24	187
254	27	415
254	63	430
254	128	3
254	230	14
254	295	419
254	376	3
254	458	296
254	534	4
254	551	11
254	602	3
254	638	433
254	638	464
255	3	102
255	3	234
255	3	251
255	3	266
255	3	421
255	42	316
255	177	473
255	181	55
255	184	333
255	225	3
255	281	3
255	333	3
255	402	3
255	470	418
255	469	3
255	484	3
255	522	42
255	551	303
256	4	59
256	3	80
256	3	103
256	3	130
256	3	195
256	3	318
256	4	432
256	4	478
256	27	3
256	44	3
256	108	478
256	178	8
256	199	478
256	249	3
256	264	310
256	265	3
256	286	3
256	341	3
256	386	136
256	528	3
256	590	79
256	638	174
256	638	108
257	3	361
257	186	3
257	244	350
257	253	40
257	268	3
257	292	186
257	304	3
257	346	247
257	356	434
257	404	3
257	415	472
257	445	3
257	618	231
257	633	478
257	638	252
257	638	47
257	638	132
257	638	389
258	3	53
258	4	206
258	3	393
258	159	168
258	266	233
258	265	478
258	318	42
258	347	430
258	347	478
258	389	3
258	416	6
258	432	25
258	491	3
258	508	213
258	528	256
259	3	37
259	3	126
259	6	198
259	146	478
259	218	94
259	340	24
259	368	478
259	400	195
259	477	478
259	516	478
259	638	20
260	3	3
260	3	311
260	3	475
260	60	478
260	355	168
260	378	478
260	415	292
260	449	478
260	502	294
260	512	478
260	553	184
260	606	477
261	5	6
261	83	77
261	262	3
261	325	87
261	360	478
261	591	157
261	638	3
261	638	77
261	638	467
262	3	153
262	3	234
262	3	278
262	3	297
262	3	372
262	3	472
262	146	142
262	209	50
262	286	243
262	299	195
262	449	3
262	468	478
262	512	156
262	519	280
262	524	369
262	623	478
262	636	5
262	638	452
263	3	3
263	3	367
263	10	478
263	117	478
263	200	478
263	219	3
263	276	351
263	378	4
263	412	193
263	472	478
263	495	120
263	498	4
263	499	92
263	567	3
264	3	16
264	3	174
264	3	234
264	3	359
264	63	42
264	101	196
264	121	259
264	189	313
264	246	472
264	248	324
264	254	244
264	258	417
264	267	3
264	323	152
264	395	478
264	461	478
264	462	103
264	510	467
264	552	63
264	558	294
264	578	478
264	615	478
264	638	178
264	638	215
264	638	416
265	71	3
265	117	269
265	165	4
265	201	478
265	247	7
265	262	478
265	286	478
265	352	477
265	511	4
266	3	87
266	3	450
266	3	478
266	98	347
266	115	387
266	134	126
266	230	478
266	343	478
266	446	478
266	454	362
266	607	335
267	3	133
267	3	177
267	51	478
267	71	373
267	98	272
267	119	371
267	146	20
267	191	3
267	337	478
267	343	20
267	357	3
267	511	4
267	537	4
267	581	209
267	638	333
267	638	430
268	3	16
268	3	252
268	3	424
268	3	478
268	29	3
268	112	176
268	152	3
268	217	478
268	278	346
268	477	302
268	584	3
268	638	4
269	5	68
269	3	381
269	3	473
269	14	478
269	117	3
269	304	478
269	338	478
269	432	393
269	581	124
269	594	478
269	638	216
270	4	6
270	3	137
270	3	333
270	47	478
270	212	3
270	237	478
270	294	3
270	427	3
270	620	239
270	638	81
270	638	167
271	3	55
271	3	195
271	3	309
271	68	478
271	136	82
271	199	3
271	358	478
271	423	296
271	466	288
271	465	478
271	560	478
271	580	3
271	638	171
271	638	369
272	3	199
272	3	307
272	3	340
272	3	454
272	3	475
272	136	3
272	181	322
272	202	4
272	197	330
272	201	274
272	254	409
272	263	240
272	268	3
272	288	3
272	320	214
272	330	299
272	452	477
272	472	478
272	526	156
272	549	3
272	579	3
272	588	477
272	615	93
272	638	87
272	638	127
272	638	397
273	3	5
273	3	161
273	3	184
273	3	196
273	3	214
273	3	275
273	247	478
273	353	477
273	451	478
273	472	223
274	3	161
274	3	262
274	3	282
274	44	478
274	219	181
274	292	478
274	333	3
274	415	478
275	3	41
275	3	168
275	3	229
275	3	478
275	57	478
275	67	3
275	116	171
275	126	478
275	155	3
275	221	3
275	270	478
275	335	478
275	469	478
275	567	477
275	638	350
276	3	17
276	3	40
276	3	478
276	29	336
276	74	471
276	85	160
276	164	313
276	176	478
276	209	85
276	225	313
276	221	478
276	265	478
276	363	376
276	407	165
276	454	155
276	457	83
276	459	478
276	471	67
276	546	477
276	601	176
276	634	478
276	638	281
276	638	153
277	3	14
277	3	386
277	4	477
277	20	3
277	73	4
277	90	137
277	92	237
277	130	18
277	147	204
277	228	478
