ImSlNo	Xcoord	Ycoord
251	3	3
251	3	375
251	24	206
251	39	236
251	106	236
251	185	3
251	282	36
251	355	303
251	360	169
251	360	405
251	383	85
251	528	3
251	627	3
251	638	334
251	638	359
252	3	79
252	3	157
252	14	267
252	139	287
252	188	403
252	219	432
252	287	478
252	335	256
252	342	67
252	457	30
252	467	149
252	469	185
252	488	461
252	493	147
252	511	334
252	523	426
252	617	171
252	638	249
252	638	51
252	638	386
253	3	329
253	3	372
253	43	478
253	156	478
253	170	3
253	235	478
253	249	340
253	315	3
253	441	88
253	479	456
253	499	3
253	498	248
253	507	478
253	539	34
253	551	331
253	570	339
253	616	318
253	637	4
253	638	229
254	3	43
254	3	271
254	14	70
254	46	364
254	53	51
254	63	275
254	93	291
254	108	393
254	115	3
254	169	377
254	212	377
254	278	478
254	325	281
254	371	3
254	394	478
254	473	478
254	488	160
254	551	366
254	612	4
254	638	166
255	3	56
255	44	385
255	85	179
255	217	336
255	224	197
255	238	478
255	319	478
255	390	3
255	425	462
255	450	478
255	469	477
255	509	280
255	632	406
255	638	3
255	638	187
255	638	284
256	3	317
256	49	3
256	166	392
256	173	3
256	222	478
256	246	18
256	291	4
256	303	364
256	436	3
256	518	478
256	538	477
256	557	3
256	638	175
256	638	219
256	638	347
256	638	383
257	110	3
257	167	478
257	192	478
257	203	3
257	304	213
257	352	47
257	351	424
257	378	369
257	405	113
257	411	3
257	417	296
257	440	478
257	475	333
257	472	478
257	492	353
257	497	478
257	509	351
257	542	478
257	638	159
257	638	268
257	638	363
258	3	200
258	3	269
258	4	478
258	142	478
258	177	478
258	221	98
258	230	31
258	251	478
258	289	416
258	337	97
258	337	3
258	409	352
258	411	477
258	417	293
258	428	478
258	559	3
258	579	74
258	597	118
258	637	253
258	638	340
259	3	219
259	75	477
259	92	64
259	265	477
259	400	478
259	436	3
259	481	59
259	507	3
259	580	3
259	638	297
259	638	274
259	638	421
260	3	88
260	3	478
260	42	176
260	101	170
260	108	3
260	117	478
260	175	403
260	279	3
260	405	379
260	416	409
260	446	32
260	505	155
260	592	156
261	3	82
261	52	449
261	74	238
261	101	478
261	139	478
261	248	468
261	311	377
261	314	3
261	578	478
261	637	426
261	638	133
261	638	298
261	638	394
262	21	477
262	132	3
262	211	3
262	259	6
262	266	477
262	330	478
262	396	108
262	411	58
262	449	4
262	537	478
262	611	447
262	616	421
262	638	237
262	638	3
262	638	85
262	638	138
263	3	26
263	104	130
263	160	3
263	186	369
263	185	3
263	258	3
263	322	478
263	447	476
263	536	57
263	570	3
263	616	3
263	638	411
264	51	468
264	70	187
264	79	478
264	120	478
264	171	478
264	236	61
264	255	122
264	281	3
264	314	29
264	322	177
264	363	243
264	379	334
264	380	188
264	389	111
264	455	16
264	471	3
264	638	340
265	3	222
265	3	334
265	61	5
265	262	133
265	274	3
265	277	449
265	470	4
265	638	208
265	638	405
266	3	161
266	254	210
266	268	248
266	302	347
266	321	3
266	461	478
266	496	346
266	500	3
266	531	478
266	604	226
266	638	478
266	638	369
266	638	463
267	3	95
267	3	171
267	235	3
267	237	236
267	263	135
267	263	3
267	284	234
267	309	3
267	437	3
267	638	3
267	638	26
268	3	246
268	56	3
268	87	463
268	173	3
268	183	397
268	209	3
268	287	40
268	379	478
268	453	209
268	452	478
268	638	120
269	3	22
269	3	206
269	3	389
269	57	3
269	74	224
269	97	4
269	131	3
269	170	160
269	183	478
269	246	442
269	499	478
269	547	3
269	599	94
269	613	397
269	619	256
269	617	3
269	630	477
269	638	275
269	638	317
270	3	175
270	118	478
270	277	477
270	331	410
270	489	3
270	577	216
270	636	478
270	638	13
270	638	82
270	638	291
271	6	28
271	3	456
271	103	478
271	129	293
271	188	478
271	234	478
271	400	478
271	638	11
271	638	71
272	3	5
272	3	103
272	3	246
272	4	318
272	3	333
272	46	127
272	45	3
272	116	3
272	240	3
272	257	477
272	276	309
272	346	68
272	397	241
272	437	277
272	471	369
272	475	103
272	533	78
272	618	478
272	638	233
273	3	294
273	76	3
273	116	383
273	149	478
273	221	268
274	3	169
274	220	478
274	259	446
274	301	478
274	330	3
274	457	46
274	501	478
274	638	182
274	638	425
275	3	183
275	3	472
275	191	478
275	261	3
275	313	3
275	444	478
275	637	241
275	638	95
276	32	184
276	72	317
276	83	7
276	87	447
276	110	477
276	129	332
276	162	163
276	222	160
276	236	478
276	280	478
276	314	478
276	342	375
276	361	226
276	382	478
276	418	477
276	442	478
276	451	4
276	543	322
276	572	438
276	638	352
277	4	158
277	3	419
277	101	85
277	164	459
277	233	416
277	259	291
277	310	402
277	502	382
277	638	49
277	638	205
278	4	305
278	50	128
278	101	478
278	172	3
278	378	478
278	417	474
278	453	4
278	465	416
278	467	386
278	493	3
278	574	127
278	629	279
278	638	22
278	638	132
278	638	266
279	59	113
279	140	331
279	200	478
279	325	74
279	375	478
279	382	402
279	405	478
279	407	334
279	426	12
279	561	477
279	580	224
279	582	3
279	638	311
280	3	18
280	9	394
280	3	410
280	15	3
280	34	3
280	151	154
280	191	330
280	194	269
280	223	200
280	234	221
280	298	48
280	303	3
280	334	333
280	371	3
280	376	96
280	389	263
280	402	415
280	455	76
280	635	477
280	638	170
280	638	288
280	638	75
280	638	257
280	638	329
280	638	400
281	3	3
281	3	50
281	3	296
281	3	478
281	246	44
281	375	121
281	400	351
281	403	477
281	592	390
281	605	349
281	638	409
281	638	59
281	638	184
282	3	3
282	3	293
282	102	3
282	114	477
282	123	231
282	149	235
282	157	444
282	202	478
282	207	394
282	280	478
282	330	41
282	332	3
282	370	3
282	381	49
282	388	271
282	413	19
282	442	148
282	454	3
282	587	226
282	594	478
282	629	72
282	638	3
282	638	169
282	638	370
283	3	259
283	3	298
283	3	396
283	100	202
283	160	3
283	188	3
283	275	275
283	279	78
283	359	3
283	388	478
283	425	406
283	451	124
283	476	190
283	604	301
283	613	478
283	624	3
283	638	66
283	638	90
284	3	342
284	110	202
284	112	381
284	259	3
284	352	478
284	369	3
284	407	272
284	482	225
284	637	247
284	638	139
284	638	371
285	3	166
285	3	203
285	3	237
285	3	279
285	3	478
285	26	478
285	30	31
285	64	473
285	130	144
285	133	4
285	151	477
285	166	443
285	169	336
285	171	467
285	180	3
285	199	478
285	265	87
285	267	221
285	272	242
285	382	3
285	389	197
285	434	384
285	442	150
285	510	467
285	637	408
285	638	147
285	638	194
286	9	478
286	77	6
286	95	3
286	185	5
286	188	125
286	299	4
286	399	84
286	442	3
286	463	3
286	517	5
286	518	478
286	607	116
286	638	419
286	638	28
286	638	123
286	638	263
286	638	475
287	5	4
287	213	3
287	220	330
287	236	478
287	248	136
287	363	406
287	382	124
287	380	3
287	406	478
287	410	143
287	561	474
287	612	478
287	638	155
287	638	357
287	638	380
287	638	458
288	3	165
288	3	254
288	54	378
288	179	476
288	212	446
288	265	434
288	276	4
288	315	202
288	376	83
288	413	20
288	439	398
288	461	478
288	530	3
288	547	317
288	564	252
288	569	5
288	587	3
288	638	244
288	638	399
289	3	28
289	3	151
289	4	176
289	3	372
289	26	315
289	69	478
289	72	144
289	83	478
289	190	12
289	363	376
289	382	175
289	400	476
289	444	478
289	483	478
289	561	336
289	594	227
289	610	140
289	626	478
289	638	432
290	3	86
290	3	101
290	81	3
290	264	124
290	318	3
290	443	3
290	481	162
290	638	389
291	3	121
291	102	478
291	141	183
291	248	101
291	255	478
291	281	232
291	373	382
291	425	3
291	538	3
291	572	99
291	638	306
292	3	152
292	4	179
292	3	456
292	18	3
292	130	60
